Date delivery,Price
18/12/2021,259.51
19/12/2021,119.67
20/12/2021,331.37
21/12/2021,431.98
22/12/2021,416.72
23/12/2021,300.73
24/12/2021,196.21
25/12/2021,198.29
26/12/2021,172.46
27/12/2021,148.83
28/12/2021,104.23
29/12/2021,155.6
30/12/2021,73.26
31/12/2021,12.13
01/01/2022,82.58
02/01/2022,47.35
03/01/2022,76.11
04/01/2022,153.92
05/01/2022,107.87
06/01/2022,194.1
07/01/2022,167.18
08/01/2022,165.9
09/01/2022,146.56
10/01/2022,261.55
11/01/2022,255.41
12/01/2022,233.32
13/01/2022,180.16
14/01/2022,178.76
15/01/2022,216
16/01/2022,133.1
17/01/2022,129.31
18/01/2022,235.87
19/01/2022,172.18
20/01/2022,117.7
21/01/2022,159.27
22/01/2022,175.76
23/01/2022,193.7
24/01/2022,245.94
25/01/2022,297.29
26/01/2022,234.98
27/01/2022,120.71
28/01/2022,174.35
29/01/2022,92.13
30/01/2022,55.3
31/01/2022,195.2
01/02/2022,150.25
02/02/2022,140.22
03/02/2022,193.56
04/02/2022,132.37
05/02/2022,88.89
06/02/2022,52.78
07/02/2022,84.68
08/02/2022,137.81
09/02/2022,165.89
10/02/2022,192.82
11/02/2022,184.58
12/02/2022,143.05
13/02/2022,83.58
14/02/2022,102.22
15/02/2022,155
16/02/2022,117.38
17/02/2022,68.64
18/02/2022,117.63
19/02/2022,39.62
20/02/2022,67.28
21/02/2022,75.42
22/02/2022,123.24
23/02/2022,130.09
24/02/2022,123.39
25/02/2022,119.96
26/02/2022,225.43
27/02/2022,182.41
28/02/2022,208.3
01/03/2022,241.4
02/03/2022,278.78
03/03/2022,338.2
04/03/2022,358.78
05/03/2022,344.4
06/03/2022,340.8
07/03/2022,410.1
08/03/2022,487.57
09/03/2022,446.25
10/03/2022,279.15
11/03/2022,80.44
12/03/2022,124.25
13/03/2022,115.1
14/03/2022,281.44
15/03/2022,300.54
16/03/2022,245.3
17/03/2022,225.41
18/03/2022,228.9
19/03/2022,130.95
20/03/2022,49.04
21/03/2022,205.75
22/03/2022,236.49
23/03/2022,236.53
24/03/2022,238
25/03/2022,244.38
26/03/2022,189.55
27/03/2022,199.97
28/03/2022,221.57
29/03/2022,250.18
30/03/2022,271.03
31/03/2022,209.19
01/04/2022,160.13
02/04/2022,166.4
03/04/2022,172.89
04/04/2022,75.33
05/04/2022,183.02
06/04/2022,121.33
07/04/2022,74.15
08/04/2022,120.87
09/04/2022,59.83
10/04/2022,74.65
11/04/2022,223.62
12/04/2022,184.59
13/04/2022,222.52
14/04/2022,227.71
15/04/2022,192.96
16/04/2022,149.22
17/04/2022,108.82
18/04/2022,120.23
19/04/2022,213
20/04/2022,203.25
21/04/2022,199.5
22/04/2022,172.49
23/04/2022,93.31
24/04/2022,108.54
25/04/2022,223.46
26/04/2022,238.47
27/04/2022,222.21
28/04/2022,230.15
29/04/2022,228.02
30/04/2022,201.28
01/05/2022,194.74
02/05/2022,219.02
03/05/2022,218.16
04/05/2022,231.29
05/05/2022,234.49
06/05/2022,225.36
07/05/2022,201.43
08/05/2022,171.82
09/05/2022,216.81
10/05/2022,183.32
11/05/2022,159.09
12/05/2022,169.12
13/05/2022,168.79
14/05/2022,152.97
15/05/2022,149.03
16/05/2022,211.58
17/05/2022,225.75
18/05/2022,206.97
19/05/2022,210.81
20/05/2022,209.23
21/05/2022,103.36
22/05/2022,166.03
23/05/2022,188.14
24/05/2022,162.95
25/05/2022,177.5
26/05/2022,67.93
27/05/2022,46.77
28/05/2022,36.85
29/05/2022,156.34
30/05/2022,225.99
31/05/2022,210.17
01/06/2022,215.29
02/06/2022,188.87
03/06/2022,184.55
04/06/2022,162.49
05/06/2022,141.58
06/06/2022,91.33
07/06/2022,183.88
08/06/2022,190.35
09/06/2022,185.49
10/06/2022,185.75
11/06/2022,134.7
12/06/2022,116.96
13/06/2022,165.56
14/06/2022,194.98
15/06/2022,211.83
16/06/2022,201.97
17/06/2022,255.43
18/06/2022,195.4
19/06/2022,154.65
20/06/2022,267.37
21/06/2022,288.59
22/06/2022,323.34
23/06/2022,295.08
24/06/2022,274.3
25/06/2022,240.39
26/06/2022,201.67
27/06/2022,316.65
28/06/2022,331.52
29/06/2022,315.54
30/06/2022,325.48
01/07/2022,314.38
02/07/2022,218.92
03/07/2022,200.11
04/07/2022,293.89
05/07/2022,318.37
06/07/2022,303.54
07/07/2022,213.22
08/07/2022,295.92
09/07/2022,148.14
10/07/2022,115.16
11/07/2022,372.6
12/07/2022,377.66
13/07/2022,352.16
14/07/2022,367.38
15/07/2022,329.92
16/07/2022,174.81
17/07/2022,221.86
18/07/2022,396.07
19/07/2022,397.09
20/07/2022,332.7
21/07/2022,396.73
22/07/2022,377.45
23/07/2022,324.99
24/07/2022,260.63
25/07/2022,309.81
26/07/2022,316.57
27/07/2022,424.49
28/07/2022,473.25
29/07/2022,438.65
30/07/2022,380.77
31/07/2022,317.79
01/08/2022,424.62
02/08/2022,380.51
03/08/2022,384.83
04/08/2022,414.16
05/08/2022,380.31
06/08/2022,273.81
07/08/2022,214.93
08/08/2022,359.55
09/08/2022,344.87
10/08/2022,335.08
11/08/2022,368.15
12/08/2022,436.8
13/08/2022,377.75
14/08/2022,330.46
15/08/2022,426.6
16/08/2022,490.79
17/08/2022,551.95
18/08/2022,563.76
19/08/2022,515.1
20/08/2022,457.97
21/08/2022,364.13
22/08/2022,563.81
23/08/2022,605.13
24/08/2022,624.34
25/08/2022,599.83
26/08/2022,699.44
27/08/2022,607.84
28/08/2022,401.03
29/08/2022,658.41
30/08/2022,660.24
31/08/2022,604.49
01/09/2022,571.2
02/09/2022,422.25
03/09/2022,287.75
04/09/2022,242.71
