Date delivery,Date delivery,month,weekday,month_1,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12,weekday_1,weekday_2,weekday_3,weekday_4,weekday_5,weekday_6,weekday_7,monthly adjustments,S_adjusted_prices,weekly adjustments,price,ARIMA_fitted,SARIMA_fitted,SARIMA_residuals,original_price,trans_SARIMA_fitted,trans_residuals
2024-07-29,2024-07-29,7,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,64.18346774193549,7.436532258064517,0.0,71.62,61.32236048430669,61.32236048430669,10.297639515693312,71.62,61.32236048430669,10.297639515693312
2024-07-30,2024-07-30,7,1,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,64.18346774193549,13.056532258064507,0.0,77.24,93.98233104894624,93.98233104894624,-16.74233104894624,77.24,93.98233104894624,-16.74233104894624
2024-07-31,2024-07-31,7,2,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,64.18346774193549,-11.93594263864469,27.152474896709204,79.4,89.53895068878772,89.53895068878772,-10.138950688787716,79.4,89.53895068878772,-10.138950688787716
2024-08-01,2024-08-01,8,3,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,0.0,66.78419149592051,28.085808504079502,94.87,80.50771368865522,80.50771368865522,14.36228631134479,94.87,80.50771368865522,14.36228631134479
2024-08-02,2024-08-02,8,4,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,0.0,93.81,0.0,93.81,75.84937390623047,75.84937390623047,17.960626093769534,93.81,75.84937390623047,17.960626093769534
2024-08-03,2024-08-03,8,5,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,0.0,75.29,0.0,75.29,68.94984405728144,68.94984405728144,6.340155942718567,75.29,68.94984405728144,6.340155942718567
2024-08-04,2024-08-04,8,6,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,0.0,55.02434239721411,7.0656576027858895,62.09,66.12128234432744,66.12128234432744,-4.031282344327437,62.09,66.12128234432744,-4.031282344327437
2024-08-05,2024-08-05,8,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,0.0,99.86,0.0,99.86,74.02210773696451,74.02210773696451,25.837892263035485,99.86,74.02210773696451,25.837892263035485
2024-08-06,2024-08-06,8,1,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,0.0,86.98,0.0,86.98,112.20103538770874,112.20103538770874,-25.22103538770874,86.98,112.20103538770874,-25.22103538770874
2024-08-07,2024-08-07,8,2,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,0.0,65.75752510329079,27.152474896709204,92.91,96.77010564588547,96.77010564588547,-3.8601056458854686,92.91,96.77010564588547,-3.8601056458854686
2024-08-08,2024-08-08,8,3,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,0.0,65.06419149592051,28.085808504079502,93.15,94.88739475582543,94.88739475582543,-1.7373947558254201,93.15,94.88739475582543,-1.7373947558254201
2024-08-09,2024-08-09,8,4,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,0.0,53.32,0.0,53.32,77.75308802795357,77.75308802795357,-24.433088027953566,53.32,77.75308802795357,-24.433088027953566
2024-08-10,2024-08-10,8,5,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,0.0,49.85,0.0,49.85,45.22773173340226,45.22773173340226,4.622268266597743,49.85,45.22773173340226,4.622268266597743
2024-08-11,2024-08-11,8,6,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,0.0,47.65434239721411,7.0656576027858895,54.72,53.453353070521516,53.453353070521516,1.2666469294784832,54.72,53.453353070521516,1.2666469294784832
2024-08-12,2024-08-12,8,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,0.0,92.06,0.0,92.06,66.35508538259455,66.35508538259455,25.70491461740545,92.06,66.35508538259455,25.70491461740545
2024-08-13,2024-08-13,8,1,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,0.0,99.74,0.0,99.74,102.96159871777552,102.96159871777552,-3.221598717775521,99.74,102.96159871777552,-3.221598717775521
2024-08-14,2024-08-14,8,2,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,0.0,80.8575251032908,27.152474896709204,108.01,102.85710629529154,102.85710629529154,5.152893704708461,108.01,102.85710629529154,5.152893704708461
2024-08-15,2024-08-15,8,3,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,0.0,57.4441914959205,28.085808504079502,85.53,100.49410567053712,100.49410567053712,-14.964105670537123,85.53,100.49410567053712,-14.964105670537123
2024-08-16,2024-08-16,8,4,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,0.0,108.04,0.0,108.04,70.26040091183218,70.26040091183218,37.77959908816783,108.04,70.26040091183218,37.77959908816783
2024-08-17,2024-08-17,8,5,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,0.0,93.24,0.0,93.24,86.64903779736392,86.64903779736392,6.590962202636078,93.24,86.64903779736392,6.590962202636078
2024-08-18,2024-08-18,8,6,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,0.0,81.1743423972141,7.0656576027858895,88.24,79.99231905839513,79.99231905839513,8.24768094160487,88.24,79.99231905839513,8.24768094160487
2024-08-19,2024-08-19,8,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,0.0,108.2,0.0,108.2,97.32190533631253,97.32190533631253,10.878094663687477,108.2,97.32190533631253,10.878094663687477
2024-08-20,2024-08-20,8,1,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,0.0,92.11,0.0,92.11,120.44829679141276,120.44829679141276,-28.33829679141276,92.11,120.44829679141276,-28.33829679141276
2024-08-21,2024-08-21,8,2,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,0.0,25.467525103290793,27.152474896709204,52.62,105.21770587384462,105.21770587384462,-52.597705873844625,52.62,105.21770587384462,-52.597705873844625
2024-08-22,2024-08-22,8,3,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,0.0,34.9541914959205,28.085808504079502,63.04,67.6366155371537,67.6366155371537,-4.596615537153703,63.04,67.6366155371537,-4.596615537153703
2024-08-23,2024-08-23,8,4,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,0.0,39.13,0.0,39.13,62.45444823402688,62.45444823402688,-23.324448234026875,39.13,62.45444823402688,-23.324448234026875
2024-08-24,2024-08-24,8,5,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,0.0,49.81,0.0,49.81,34.220467320620074,34.220467320620074,15.589532679379928,49.81,34.220467320620074,15.589532679379928
2024-08-25,2024-08-25,8,6,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,0.0,14.794342397214109,7.0656576027858895,21.86,52.70067723431153,52.70067723431153,-30.840677234311528,21.86,52.70067723431153,-30.840677234311528
2024-08-26,2024-08-26,8,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,0.0,99.59,0.0,99.59,39.520885370573815,39.520885370573815,60.06911462942619,99.59,39.520885370573815,60.06911462942619
2024-08-27,2024-08-27,8,1,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,0.0,90.9,0.0,90.9,107.9422709815011,107.9422709815011,-17.04227098150109,90.9,107.9422709815011,-17.04227098150109
2024-08-28,2024-08-28,8,2,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,0.0,68.7675251032908,27.152474896709204,95.92,85.79321934573727,85.79321934573727,10.126780654262731,95.92,85.79321934573727,10.126780654262731
